district,place_id,name,address,lat,lng,rating,num_ratings
Polonnaruwa,ChIJS6BD3JhE-zoRbiE12pSyHfI,Cargills Food City - Polonnaruwa,"Maradankadawala-Habarana-Thirukkondaiadimadu Hwy, Polonnaruwa, Sri Lanka",7.942513599999999,81.01224549999999,4.3,562
Polonnaruwa,ChIJlyO9gGBE-zoRNCUYddMtyHQ,Cargills Food City - Kaduruwela,"No. 896, Maradankadawala-Habarana-Thirukkondaiadimadu Hwy, Sri Lanka",7.928211999999998,81.0342228,4.1,534
Badulla,ChIJx3SraRZi5DoRXETQDRf8yGE,Cargills Food City - Badulla 1,"18, Dharmaduta Road, 18 Dharmadutha Road, Badulla 90000, Sri Lanka",6.988121899999999,81.0603083,4.2,926
Badulla,ChIJHdTqzQtj5DoRB-amQWekQB8,Cargills Food City - Badulla 2,"X3R2+3PP, Badulla, Sri Lanka",6.9899703,81.0519533,4.4,162
Badulla,ChIJ3aWUSWBj5DoR1rx-5MxGe5E,Cargills Food City (Express) - Badulla,"X3X4+CPM, Badulla, North, Sri Lanka",6.998595799999999,81.056859,4.2,157
Monaragala,ChIJxRNyz3FQ5DoRP9P3crqlZp0,Cargills Food City - Monaragala,"Monaragala, Sri Lanka",6.8712998,81.35009079999999,4.2,412
Ratnapura,ChIJLXSM_Qy_4zoRGtBqKuTKlFA,Cargills Food City - Rathnapura 1,"Municipal Commercial Complex, Colombo - Batticaloa Hwy, Ratnapura, Sri Lanka",6.6791445,80.40212029999999,4.1,913
Ratnapura,ChIJZ2-pSw6_4zoRcJHWUTcMfxI,Cargills Food City - Rathnapura 02,"MCM2+R87, Ratnapura, Sri Lanka",6.6845374,80.4008102,4.0,156
Ratnapura,ChIJX_elTNC_4zoRR-AumrJTE2M,Cargills Food City Rathnapura 3,"M9XR+GC7, Ratnapura, Sri Lanka",6.6987769,80.3910526,4.1,403
Kegalle,ChIJNZ0O4bMW4zoRzJHgbuDvu4A,Cargills Food City - Kegalle 1,"449/1 Kandy - Colombo Rd, Kegalle, Sri Lanka",7.253946399999998,80.3502343,4.2,487
Kegalle,ChIJS6UU9soW4zoRbPXbqAEFDWg,Cargills Food City - Kegalle 2,"123 Nidahas Mawata, Kegalle, Sri Lanka",7.2511459,80.3419131,4.2,506
