place_id,name,lat,lng,address,rating,user_ratings_total,types
ChIJwwaETAdL4zoR85oZqEb2VCU,Cargills Food City Express - Melsiripura,7.6378951,80.5051505,"JGP4+W3P, Dambulla Rd, Melsiripura",4.0,249.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ8cHSjZBB4zoR3mB9KEgRV4k,Cargills Food City Express Galagedara,7.3727606,80.5244948,Galagedara,3.9,198.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ0RWmTa034zoRTITySqO5hGs,Cargills Food City Express-2 Ibbagamuwa,7.542539,80.44560299999999,"No 183 Udawela, Dehelgamuwa, Ibbagamuwa",4.2,178.0,"grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ3fGLmyQ64zoR79bq5yfhSi4,Cargills Food City - Kurunegala 3,7.477999199999999,80.3566403,"Colombo Road, Kurunegala",4.2,618.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJfcBqhNQ34zoRzc_Ghk2Qty4,Cargills Food City Express - Ibbagamuwa,7.547703599999999,80.44975869999999,"No. 5, Dambulla Rd, Ibbagamuwa",4.0,458.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJGUQoTqc54zoRM_vAdAYQLwQ,Cargills Food City - Kurunegala 4,7.4763179,80.378989,"F9GH+GHH, Theliyagonna",4.4,164.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJj1U0Qdxp4zoRNw_mBN_9y_A,Cargills Food City Express - Aladeniya,7.3316449,80.5699376,"8HJ9+MX3, Katugastota-Kurunegala-Puttalam Hwy, Aladeniya",4.0,250.0,"grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ7Rs429dE4zoRHItQw6DhtC8,Cargills Food City - Matale 2,7.4803619,80.6234812,"No. 666 A9, Matale",4.1,426.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ49QAAcUT4zoR-hMVHfP1vfU,Cargills Food City - Rambukkana,7.321590199999999,80.3900845,"44 Station Road, Rambukkana",4.3,93.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJpdQwy-E74zoRR0AcH5gbGD0,Cargills Food City Yanthampalawa - Express,7.493573700000001,80.3478478,"225 B82, Kurunegala",4.4,101.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJB6sr9AFT4zoR6AFlRh5e72E,Cargills food city Express - Madawala Ulpotha,7.6091153,80.6359272,"JJ5P+J9V, Madawala Ulpotha",4.4,136.0,"grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJjTg29ChF4zoRfzSqhtcysqA,Cargills Food City Express,7.470932800000001,80.62324199999999,"No. 1, 15 Rose St, Matale",4.0,267.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJo1C3xoJF4zoRlLfBzGXzQ_I,Cargills Food City - Matale 03,7.4583637,80.6282093,"FJ5H+793, Matale",4.4,217.0,"grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJT7QGx5EV4zoRLCqSVPdOvOQ,Cargills Food City Express - Rambukkana,7.323112699999999,80.39563919999999,"89FW+67R, Katupitiya Road, Rambukkana",4.2,87.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJoSie9RA14zoRL9wRDQ_TpBk,Cargills Food City Express - Hiripitiya,7.65491,80.3708267,"Shantec, B300, 66 Kurunegala Rd",4.2,62.0,"grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJs1R18dpP4zoRi0HyIcXd0a0,Cargill's Food City Express - Palapathwela,7.5300546,80.6260748,"GJJG+2CG, Kandy Rd, Palapathwela",4.3,194.0,"grocery_or_supermarket,food,store,point_of_interest,establishment"
