place_id,user_ratings_total,types,district,num_ratings,_merge,name,lat,lng,address,rating
ChIJeeCOm2Iu4joRPy5jtGz4uw4,366.0,"grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Aluthgama 2,6.437482,79.9957355,"CXPW+X7X, Aluthgama",4.4
ChIJeehcHADz5DoRFU98A1CHc9c,36.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment",,,left_only,Cargills Food City - Bibile,7.164442799999999,81.2258985,"567G+Q9C, Peradeniya-Badulla-Chenkaladi Hwy, Bibile",4.6
ChIJfQ5tl7dZ4joRYAAHLXn9WaM,123.0,"grocery_or_supermarket,store,point_of_interest,food,establishment",Colombo,123.0,both,Cargills Food City - Ananda Coomarasamy Mawatha,6.911835099999999,79.854643,"62 Ananda Coomaraswamy Mawatha, Colombo",4.3
ChIJfWYxu8kV4zoRUeCIl2KsREs,71.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City Express - Pinnawala,7.299304500000001,80.3861958,"No -563, Kegalle - Rambukkana Rd, Rambukkana",4.2
ChIJf__HKwB_4ToRbFtjsdHqB2c,1.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City,6.2886652,80.16327489999999,"75Q7+F87, Elpitiya-Pituwala-Kahaduwa Road, Elpitiya",5.0
ChIJfaQEpWBZ4joRRC6CVjuy4aI,385.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",Colombo,385.0,both,Cargills Food City - Kollupitiya,6.902797899999999,79.852628,"No. 407 Galle Rd, Colombo",3.9
ChIJfaQEpWBZ4joRRC6CVjuy4aI,385.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",Galle,385.0,both,Cargills Food City - Kollupitiya,6.902797899999999,79.852628,"No. 407 Galle Rd, Colombo",3.9
ChIJfcBqhNQ34zoRzc_Ghk2Qty4,458.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",,,left_only,Cargills Food City Express - Ibbagamuwa,7.547703599999999,80.44975869999999,"No. 5, Dambulla Rd, Ibbagamuwa",4.0
ChIJffGQ2cQD_zoRPdoRYx-FWNY,,"point_of_interest,establishment",,,left_only,Cargills Parking (Only for food city customers),9.799633,80.1965499,"163 Jaffna Rd, Karaveddi",
ChIJffoBZeBb4joRlA60VZw2vJI,48.0,"grocery_or_supermarket,food,store,point_of_interest,establishment",,,left_only,Cargills Food City - Marine City,6.8509933,79.8625996,"46 Station Road, Dehiwala-Mount Lavinia",3.7
ChIJg2oDHwBb4joRNPlGiHpH09o,4.0,"grocery_or_supermarket,food,store,point_of_interest,establishment",Colombo,4.0,both,Cargills Food City Express - Isipathana Mawatha,6.896713399999999,79.8634584,"Henry Play Ground, No. 149 A/1, 5 Colombo 5, Colombo",3.8
ChIJg3PunkZZ4joRbEn2jsz_HYI,,,Colombo,181.0,right_only,Cargills Food City - Rajagiriya 03,6.9017116,79.8937704,"502 Nawala Rd, Sri Jayawardenepura Kotte 11222, Sri Lanka",4.1
